,year,i3,inf,inven,gdp,r3,cinven,cgdp,cr3,ci3,cinf,ginven,ggdp,Unnamed: 13
0,1959,,,401.4,,2.71,.,.,,,,,.,
1,1960,2.93,1.7,412.0,2261.7,1.23,10.60001,49.3999,-1.48,-0.48,1,0.0260649,0.022084,
2,1961,2.38,1.0,420.9,2309.8,1.38,8.899994,48.1001,0.1500001,-0.55,-0.7,0.0213719,0.0210442,
3,1962,,,440.9,,1.78,20,139.3,,,,,0.0585597,
4,1963,3.16,1.3,459.0,2554.0,1.86,18.10001,104.8999,0.0800002,0.3800001,0.3,0.0402321,0.0419401,
5,1964,3.55,1.3,474.7,2702.9,2.25,15.70001,148.8999,0.3899999,0.3899999,0,0.0336328,0.0566645,
6,1965,3.95,1.6,504.8,2874.8,2.35,30.09998,171.9001,0.0999999,0.4000001,0.3000001,0.0614792,0.0616579,
7,1966,4.88,2.9,547.2,3060.2,1.98,42.40002,185.3999,-0.3699999,0.9300001,1.3,0.0806521,0.0624971,
8,1967,4.32,3.1,579.2,3140.2,1.22,32,80,-0.7599998,-0.5599999,0.1999998,0.0568335,0.0258062,
9,1968,5.34,4.2,606.1,3288.6,1.14,26.89996,148.4001,-0.0799999,1.02,1.1,0.0453971,0.0461755,
10,1969,6.68,5.5,633.3,3388.0,1.18,27.20001,99.3999,0.0399995,1.34,1.3,0.0438993,0.0297778,
11,1970,6.46,5.7,639.0,3388.2,0.7600001999999999,5.700012,0.1999512,-0.4199996,-0.2199998,0.1999998,0.0089602,5.9E-05,
12,1971,4.35,4.4,661.7,3500.1,-0.050000199999999995,22.70001,111.9001,-0.8100004,-2.11,-1.3,0.0349078,0.0324928,
13,1972,4.07,3.2,686.9,3690.3,0.8700001,25.20001,190.2,0.9200003,-0.2799997,-1.2,0.0373765,0.0529162,
14,1973,7.04,6.2,725.9,3902.3,0.8400002000000001,39,212,-0.03,2.97,3,0.0552235,0.0558584,
15,1974,,,749.8,,-3.11,23.89996,-14.1001,,,,,-0.0036198,
16,1975,5.84,9.1,738.8,3865.1,-3.26,-11,-23.09985,-0.1500001,-2.05,-1.9,-0.0147793,-0.0059587,
17,1976,4.99,5.8,767.8,4081.1,-0.8100004,29,216,2.45,-0.8500004,-3.3,0.038502,0.054379,
18,1977,5.27,6.5,805.8,4279.3,-1.23,38,198.1997,-0.4199996,0.2800002,0.6999998,0.0483063,0.0474228,
19,1978,,,848.1,,-0.38000009999999995,42.29999,214.4004,,,,,0.0488871,
20,1979,10.04,11.3,871.2,4624.0,-1.26,23.10004,130.2998,-0.8800001,2.82,3.7,0.0268731,0.0285837,
21,1980,11.51,13.5,861.2,4611.9,-1.99,-10,-12.1001,-0.7299995,1.47,2.2,-0.0115448,-0.0026202,
22,1981,,,894.3,,3.73,33.09998,113,,,,,0.0242065,
23,1982,10.69,6.2,878.7,4623.6,4.49,-15.59998,-101.2998,0.7600002,-3.34,-4.1,-0.0175977,-0.0216727,
24,1983,,,872.8,,5.43,-5.900024,186.3999,,,,,0.0395234,
25,1984,9.58,4.3,947.6,5138.2,5.28,74.79999,328.2002,-0.1500006,0.9499998,1.1,0.082226,0.0660058,
26,1985,7.48,3.6,977.4,5329.5,3.88,29.80005,191.2998,-1.4,-2.1,-0.7000003,0.0309636,0.0365546,
27,1986,5.98,1.9,988.3,5489.9,4.08,10.89996,160.3999,0.1999998,-1.5,-1.7,0.0110903,0.0296526,
28,1987,5.82,3.6,1014.5,5648.4,2.22,26.20001,158.5,-1.86,-0.1599998,1.7,0.0261649,0.0284623,
29,1988,,,1026.2,,2.59,11.69995,214.5,,,,,0.037272,
30,1989,8.12,4.8,1059.5,6060.4,3.32,33.30005,197.5,0.7299995,1.43,0.7000003,0.0319345,0.0331314,
31,1990,7.51,5.4,1069.9,6138.7,2.11,10.40002,78.30029,-1.21,-0.6099997,0.5999999,0.0097681,0.0128372,
32,1991,,,1066.9,,1.22,-3,-59.7002,,,,,-0.0097728,
33,1992,3.45,3.0,1074.2,6244.4,0.45,7.299927,165.3999,-0.7700002,-1.97,-1.2,0.0068189,0.0268448,
34,1993,3.02,3.0,1093.2,6386.4,0.02,19,142,-0.4300001,-0.4300001,0,0.017533,0.0224857,
35,1994,,,1152.1,,1.69,58.90002,222.3003,,,,,0.0342163,
36,1995,5.51,2.8,1185.3,6742.9,2.71,33.20007,134.1997,1.02,1.22,0.2,0.0284096,0.0201031,
