RIC;Timestamp;Venue;Volume;VWAP;Bid;Ask
SHEL.L;27-Sep-2024 13:43:13.855;XLON;407;2,428.0882;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.839;XLON;991;2,428.0856;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.838;XLON;212;2,428.0851;2,436.5000;2,437.0000
SHEL.L;27-Sep-2024 13:43:13.837;XLON;468;2,428.0838;2,436.5000;2,437.0000
SHEL.L;27-Sep-2024 13:43:13.837;XLON;92;2,428.0836;2,436.0000;2,437.0000
SHEL.L;27-Sep-2024 13:43:13.837;XLON;309;2,428.0827;2,436.0000;2,437.0000
SHEL.L;27-Sep-2024 13:43:13.837;XLON;468;2,428.0814;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.837;XLON;196;2,428.0809;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.836;XLON;119;2,428.0806;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.833;XLON;369;2,428.0784;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.833;XLON;461;2,428.0773;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.833;XLON;425;2,428.0773;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.812;XLON;605;2,428.0757;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.812;XLON;576;2,428.0741;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.791;XLON;481;2,428.0729;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.759;XLON;469;2,428.0717;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.751;XLON;370;2,428.0707;2,436.5000;2,437.0000
SHEL.L;27-Sep-2024 13:43:13.751;XLON;370;2,428.0697;2,436.5000;2,437.0000
SHEL.L;27-Sep-2024 13:43:13.751;XLON;153;2,428.0693;2,436.0000;2,437.0000
SHEL.L;27-Sep-2024 13:43:13.750;XLON;240;2,428.0686;2,436.0000;2,437.0000
SHEL.L;27-Sep-2024 13:43:13.750;XLON;1,045;2,428.0658;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.731;XLON;251;2,428.0651;2,436.0000;2,437.0000
SHEL.L;27-Sep-2024 13:43:13.731;XLON;410;2,428.0640;2,436.0000;2,437.0000
SHEL.L;27-Sep-2024 13:43:13.731;XLON;314;2,428.0631;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:13.730;XLON;985;2,428.0631;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:43:09.877;SINT;19,364;;;
SHEL.L;27-Sep-2024 13:43:09.865;XOFF;19,364;;;
BNPP.PA;27-Sep-2024 13:43:07.948;;8;63.2646;63.4300;63.4500
BNPP.PA;27-Sep-2024 13:43:07.948;;100;63.2646;63.4300;63.4500
BNPP.PA;27-Sep-2024 13:43:07.925;;54;63.2646;63.4400;63.4500
BNPP.PA;27-Sep-2024 13:43:07.925;;116;63.2645;63.4400;63.4500
SHEL.L;27-Sep-2024 13:42:53.520;XLON;10;2,428.0605;2,435.5000;2,436.5000
SHEL.L;27-Sep-2024 13:42:52.580;XLON;103;2,428.0605;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:42:51.432;XLON;104;2,428.0602;2,435.5000;2,436.5000
BNPP.PA;27-Sep-2024 13:42:50.687;;154;63.2645;63.4200;63.4300
BNPP.PA;27-Sep-2024 13:42:50.687;;53;63.2644;63.4200;63.4300
BNPP.PA;27-Sep-2024 13:42:50.687;;145;63.2644;63.4200;63.4300
BNPP.PA;27-Sep-2024 13:42:50.687;;54;63.2644;63.4200;63.4300
SHEL.L;27-Sep-2024 13:42:49.431;XOFF;20,000;;;
TTEF.PA;27-Sep-2024 13:42:44.318;;159;59.3386;59.4300;59.4500
TTEF.PA;27-Sep-2024 13:42:44.318;;38;59.3386;59.4300;59.4500
TTEF.PA;27-Sep-2024 13:42:44.318;;375;59.3386;59.4300;59.4500
SHEL.L;27-Sep-2024 13:42:41.136;SINT;40;;;
TTEF.PA;27-Sep-2024 13:42:37.430;;10;59.3386;59.4400;59.4500
SHEL.L;27-Sep-2024 13:42:34.868;XLON;735;2,428.0581;2,436.0000;2,436.5000
SHEL.L;27-Sep-2024 13:42:34.867;XLON;22;2,428.0581;2,436.0000;2,436.5000
BNPP.PA;27-Sep-2024 13:42:34.022;;150;63.2644;63.4100;63.4300
BNPP.PA;27-Sep-2024 13:42:34.022;;198;63.2643;63.4100;63.4300
SHEL.L;27-Sep-2024 13:42:31.338;XLON;300;2,428.0581;2,435.5000;2,436.5000
TTEF.PA;27-Sep-2024 13:42:31.228;;375;59.3386;59.4400;59.4500
