,wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
0,769,40,93.0,35.0,12.0,11.0,2.0,31,1,0,0.0,1,1,2,8,8,6.645091000000001
1,808,50,119.0,41.0,18.0,11.0,16.0,37,1,0,0.0,1,1,.,14,14,6.6945619999999995
2,825,40,108.0,46.0,14.0,11.0,9.0,33,1,0,0.0,1,1,2,14,14,6.715383999999999
3,650,40,96.0,32.0,12.0,13.0,7.0,32,1,0,0.0,1,4,3,12,12,6.476973
4,562,40,74.0,27.0,11.0,14.0,5.0,34,1,0,0.0,1,10,6,6,11,6.3315019999999995
5,1400,40,116.0,43.0,16.0,14.0,2.0,35,1,1,0.0,1,1,2,8,.,7.244227
6,600,40,91.0,24.0,10.0,13.0,0.0,30,0,0,0.0,1,1,2,8,8,6.39693
7,1081,40,114.0,50.0,18.0,8.0,14.0,38,1,0,0.0,1,2,3,8,.,6.9856419999999995
8,1154,45,111.0,37.0,15.0,13.0,1.0,36,1,0,0.0,0,2,3,14,5,7.05099
9,1000,40,95.0,44.0,12.0,16.0,16.0,36,1,0,0.0,1,1,1,12,11,6.907755
10,930,43,132.0,44.0,18.0,8.0,13.0,38,1,0,0.0,0,1,1,13,14,6.835185000000001
11,921,38,102.0,45.0,14.0,9.0,11.0,33,1,0,0.0,0,1,2,16,.,6.8254600000000005
12,900,45,125.0,40.0,15.0,4.0,3.0,30,0,0,0.0,0,2,.,12,12,6.802395
13,1318,38,119.0,24.0,16.0,7.0,2.0,28,1,0,0.0,1,3,1,10,10,7.183871000000001
14,1792,40,118.0,47.0,16.0,9.0,9.0,34,1,0,0.0,1,1,1,12,12,7.491086999999999
15,958,50,105.0,37.0,10.0,17.0,2.0,35,1,0,0.0,1,1,2,6,8,6.864847999999999
16,1360,45,109.0,39.0,15.0,6.0,9.0,36,1,0,0.0,1,3,3,12,10,7.21524
17,850,40,72.0,36.0,11.0,19.0,10.0,38,1,0,0.0,1,2,3,10,8,6.745236
18,830,44,105.0,29.0,14.0,4.0,7.0,29,1,0,0.0,1,3,1,12,.,6.721425999999999
19,471,44,101.0,34.0,12.0,13.0,7.0,31,1,0,0.0,1,3,2,8,.,6.154858
20,1275,40,123.0,37.0,14.0,9.0,1.0,31,1,0,0.0,1,0,1,12,.,7.150702000000001
21,1615,50,113.0,49.0,16.0,10.0,4.0,36,1,0,0.0,1,2,1,12,12,7.38709
22,873,65,95.0,36.0,12.0,14.0,3.0,38,1,0,0.0,1,5,1,10,10,6.771935000000001
23,2137,45,145.0,50.0,16.0,17.0,8.0,38,1,0,0.0,1,2,1,12,12,7.667158000000001
24,1053,38,114.0,35.0,16.0,12.0,7.0,32,1,0,0.0,1,0,1,11,11,6.959399
25,1602,60,124.0,32.0,16.0,8.0,9.0,29,1,0,0.0,1,3,1,16,16,7.379008
26,1188,40,93.0,40.0,13.0,16.0,5.0,35,1,0,0.0,1,2,1,12,8,7.080027
27,800,40,115.0,39.0,18.0,11.0,1.0,35,1,0,1.0,1,0,1,8,8,6.6846119999999996
28,1417,48,125.0,41.0,17.0,9.0,4.0,34,1,0,0.0,1,3,1,13,12,7.256297
29,635,40,128.0,35.0,18.0,8.0,13.0,36,0,0,0.0,1,2,1,16,16,6.453625
30,1000,40,103.0,40.0,12.0,17.0,2.0,34,1,0,0.0,1,1,1,8,.,6.907755
31,1424,50,98.0,41.0,14.0,15.0,4.0,35,1,0,0.0,1,1,1,12,12,7.261225
32,2668,75,108.0,41.0,13.0,12.0,2.0,32,1,0,1.0,1,1,2,12,12,7.8890839999999995
