Latitude;Longitude;rp100;rp1000
20,63;39,555;0,036805339;0,038967595
51,2679;19,3265;0,558157146;0,662555695
32,6842;116,9021;0,936508298;1,141606688
22,66;39,033;0;0
26,85;49,896;0,00705246;0,007338333
57,2574;12,1087;;
25,86;50,118;0,095816173;0,101627238
57,1067;61,7117;0,032061871;0,043288138
24,95;47,065;0;0
33,0606;-83,8075;0;0
34,1256;-84,9222;1,380087376;2,601806879
42,3572;11,5373;1,110166907;1,432329655
31,7563;120,9731;1,175624132;1,42269969
60,4028;18,1744;0,002389681;0,003323335
24,41;47,013;0;0
21,21;39,177;0,09526749;0,108653046
33,6319;-87,0597;2,133028984;3,055136204
22,67;39,037;0,059313972;0,071172364
51,8344;14,459;0,247105211;0,320016533
40,5632;18,0318;0;0
44,9569;12,4883;0,518774867;0,670816958
33,8239;-84,4758;5;5
51,4163;14,5619;0,596089065;0,907625854
31,0069;-88,0103;1,17687583;1,651229143
56,741;36,7707;0,090701148;0,160371527
33,1427;-81,7625;0,296407402;0,638887465
30,5322;-88,5553;1,906924605;2,42137289
49,1796;14,3795;0;0
24,6;46,571;0;0
24,79;45,621;0;0
49,0852;16,1479;0;0
33,2442;-86,4581;1,876122832;2,640244961
39,807;-5,6986;0;0
42,1269;11,7583;0;0
53,7356;-0,9911;0,565219879;0,726445615
33,4134;-85,0323;2,43022871;3,555160761
30,1621;106,5474;1,814622641;2,248550415
28,2891;117,2231;3,592910528;3,982364655
21,43;39,205;0,09526749;0,108653046
53,1181;-4,1032;0;0
31,2231;-85,1116;3,044056177;4,274429321
50,1331;18,5232;0;0
31,9342;-82,3447;0,784898281;1,13718915
26,2;44,015;0,418640465;0,457132638
53,489;9,949;0,218566656;0,279271245
36,6721;-5,8164;0;0
57,0023;60,4635;0,160699725;0,226829588
45,5201;8,7422;0;0
44,6595;41,9294;0,527271211;0,725718498
16,94;42,633;0,08626613;0,094943985
45,3325;9,4364;0;0
51,5348;14,3531;0,596089065;0,907625854
50,9482;14,9128;0,247105211;0,320016533
50,7514;17,8845;0,687947512;0,908675849
42,1241;11,7624;0;0
45,0904;9,4805;3,196084499;3,63838625
28,8612;115,9764;2,851350784;3,557116985
32,3478;-81,1817;0,296407402;0,638887465
53,2067;14,4651;0,318934023;0,374923885
52,0356;9,4135;0,436675847;0,630838871
44,2755;8,4305;0,153600514;0,192471296
50,2064;19,2046;0,490410745;0,732523561
38,0462;106,6058;0;0
27,4934;106,4492;0;0
31,4528;118,3445;3,523396015;4,253274918
29,1866;117,0842;1,577571154;1,809017658
39,5508;112,4887;0,182439655;0,214321405
24,57;46,883;0;0
53,4502;6,8548;;
44,1118;9,8743;0,790662169;1,107815385
37,9322;-8,8038;3,727776051;5
32,6017;-87,7811;2,005982876;2,867172718
42,9565;10,6034;0,256779879;0,337213695
27,46;46,864;0,051244706;0,053567726
41,2117;-6,6856;3,174093723;3,969470501
28,666;104,6893;3,616623402;4,675680637
31,1419;114,8922;0,544894457;1,452967405
27,1251;108,7704;0,2739411;0,375931829
33,6443;-87,1965;5;5
50,1331;18,8465;0;0
45,0265;11,2522;1,009183884;1,265767813
50,0886;8,9534;0,776058793;1,003270626
45,1856;7,9016;0,943710446;1,212118149
25,68;49,433;0;0
51,9587;4,0272;0,283928156;0,375386178
39,2134;-1,0509;1,381361604;3,290944815
50,5098;11,0209;0;0
50,5194;12,8798;0;0
51,9626;4,0217;0,283928156;0,375386178
30,4392;-89,0286;1,191554666;1,710371256
40,7016;-2,6227;1,263878942;2,079957008
50,4278;13,6777;0;0
60,3708;26,3468;;
32,3563;-81,1683;0,296407402;0,638887465
28,47;36,521;0,044122204;0,049031757
45,4314;12,2468;0,089088306;0,102761865
45,5115;9,5098;0;0
50,4131;14,4158;0,371177733;0,49887687
39,2438;-0,9317;0,106979385;0,114793487
34,2528;-85,3456;2,096826077;2,889678717
51,3985;11,9504;0,369944781;0,49198103
43,34;-3,0539;0;0
48,496;17,6816;0;0
48,2621;18,459;0;0
48,5536;21,9782;0,028408781;0,041156046
51,1821;12,3733;0,369944781;0,49198103
52,3828;8,996;0,531064749;0,735510588
66,8857;19,8186;0,398600638;0,717840791
38,2049;15,2818;0;0
40,1267994;-8,7870324;4,15763092;5
41,2669;-6,3078;0;0
50,4267;13,6747;0;0
32,6547;-88,7622;0;0
42,0502;14,5639;0;0
39,9592;-0,001;0,18284288;0,210096151
52,4816;13,3076;0;0
39,1022;17,0325;0;0
49,4208;11,0077;1,023329735;1,235500574
37,5732;-0,9392;0;0
41,9655;126,4524;0,596508384;0,791834533
33,4622;-84,8986;2,43022871;3,555160761
45,0543;9,7086;3,196084499;3,63838625
45,2372;8,1932;0;0
45,2268;9,6377;0;0
41,1025;16,756;0;0
49,9072;18,4646;0;0
50,381;13,3399;0,524080634;1,142025709
21,47;39,799;0;0
27,46;41,742;0;0
41,5616;12,6337;0;0
53,5658;8,1462;0,063916802;0,074620664
41,63536;-8,18119;0;0
50,4178;13,2592;0,524080634;1,142025709
