Date,OPEN,CLOSE,Company,Company full name
2020-11-05,380.95,383.92,POOL.OQ,POOL ORD
2020-11-06,386.27,382.89,POOL.OQ,POOL ORD
2020-11-09,373.17,322.3,POOL.OQ,POOL ORD
2020-11-10,322.68,339.71,POOL.OQ,POOL ORD
2020-11-11,340.58,346.07,POOL.OQ,POOL ORD
2020-11-12,349.36,339.53,POOL.OQ,POOL ORD
2020-11-13,340.41,340.63,POOL.OQ,POOL ORD
2020-11-16,338.16,340.8,POOL.OQ,POOL ORD
2020-11-17,341.72,329.45,POOL.OQ,POOL ORD
2020-11-18,330.16,322.44,POOL.OQ,POOL ORD
2020-11-19,326.43,338.65,POOL.OQ,POOL ORD
2020-11-20,336.52,339.87,POOL.OQ,POOL ORD
2020-11-23,339.22,334.13,POOL.OQ,POOL ORD
2020-11-24,332.65,328.28,POOL.OQ,POOL ORD
2020-11-25,330.37,333.59,POOL.OQ,POOL ORD
2020-11-27,336.55,343.12,POOL.OQ,POOL ORD
2020-11-30,343.99,346.11,POOL.OQ,POOL ORD
2020-12-01,346.11,353.1,POOL.OQ,POOL ORD
2020-12-02,350.7,339.13,POOL.OQ,POOL ORD
2020-12-03,337.07,330.24,POOL.OQ,POOL ORD
2020-12-04,329.52,324.27,POOL.OQ,POOL ORD
2020-12-07,325.28,332.59,POOL.OQ,POOL ORD
2020-12-08,333.9,339.12,POOL.OQ,POOL ORD
2020-12-09,337.97,334.9,POOL.OQ,POOL ORD
2020-12-10,333.98,331.4,POOL.OQ,POOL ORD
2020-12-11,331.37,337.79,POOL.OQ,POOL ORD
2020-12-14,339.46,346.58,POOL.OQ,POOL ORD
2020-12-15,347.0,348.79,POOL.OQ,POOL ORD
2020-12-16,348.09,352.94,POOL.OQ,POOL ORD
2020-12-17,352.63,356.15,POOL.OQ,POOL ORD
2020-12-18,358.2,364.37,POOL.OQ,POOL ORD
2020-12-21,360.43,362.01,POOL.OQ,POOL ORD
2020-12-22,362.01,369.73,POOL.OQ,POOL ORD
2020-12-23,371.46,365.52,POOL.OQ,POOL ORD
2020-12-24,364.95,364.73,POOL.OQ,POOL ORD
2020-12-28,368.75,362.76,POOL.OQ,POOL ORD
2020-12-29,363.91,364.04,POOL.OQ,POOL ORD
2020-12-30,366.16,367.28,POOL.OQ,POOL ORD
2020-12-31,368.47,372.5,POOL.OQ,POOL ORD
2021-01-04,373.82,356.89,POOL.OQ,POOL ORD
2021-01-05,356.53,356.87,POOL.OQ,POOL ORD
2021-01-06,352.2,370.38,POOL.OQ,POOL ORD
2021-01-07,374.58,385.95,POOL.OQ,POOL ORD
2021-01-08,388.81,390.99,POOL.OQ,POOL ORD
2021-01-11,389.74,385.25,POOL.OQ,POOL ORD
2021-01-12,387.75,385.0,POOL.OQ,POOL ORD
2021-01-13,385.0,373.72,POOL.OQ,POOL ORD
2021-01-14,374.38,366.7,POOL.OQ,POOL ORD
