RIC;Timestamp;Venue;Volume;VWAP;Bid;Ask
SHEL.L;27-Sep-2024 09:05:40.449;XLON;216;2,419.8868;2,420.0000;2,420.5000
SHEL.L;27-Sep-2024 09:05:40.040;SINT;;;;
SHEL.L;27-Sep-2024 09:05:39.180;SINT;;2,419.8868;2,419.5000;2,420.5000
SHEL.L;27-Sep-2024 09:05:39.120;SINT;;;;
SHEL.L;27-Sep-2024 09:05:39.045;XLON;256;2,419.8867;2,419.0000;2,420.0000
SHEL.L;27-Sep-2024 09:05:39.028;XLON;275;2,419.8872;2,418.0000;2,419.5000
SHEL.L;27-Sep-2024 09:05:39.028;XLON;195;2,419.8876;2,418.0000;2,419.5000
SHEL.L;27-Sep-2024 09:05:39.028;XLON;450;2,419.8884;2,418.0000;2,419.5000
SHEL.L;27-Sep-2024 09:05:37.327;SINT;;;;
BNPP.PA;27-Sep-2024 09:05:35.348;;25;62.9733;62.8300;62.8400
BNPP.PA;27-Sep-2024 09:05:35.347;;208;62.9734;62.8200;62.8300
BNPP.PA;27-Sep-2024 09:05:35.347;;92;62.9741;62.8200;62.8300
SHEL.L;27-Sep-2024 09:05:34.058;SINT;1;;;
SHEL.L;27-Sep-2024 09:05:34.058;SINT;;;;
SHEL.L;27-Sep-2024 09:05:33.410;XLON;739;2,419.8916;2,418.0000;2,419.0000
SHEL.L;27-Sep-2024 09:05:32.085;SINT;6;2,419.8916;2,418.0000;2,419.0000
BNPP.PA;27-Sep-2024 09:05:31.165;;100;62.9745;62.8200;62.8300
SHEL.L;27-Sep-2024 09:05:30.540;SINT;;;;
SHEL.L;27-Sep-2024 09:05:30.228;SINT;;;;
SHEL.L;27-Sep-2024 09:05:27.145;SINT;;;;
SHEL.L;27-Sep-2024 09:05:27.145;SINT;4;2,419.8916;2,418.0000;2,419.0000
BNPP.PA;27-Sep-2024 09:05:25.176;;21;62.9749;62.8400;62.8800
BNPP.PA;27-Sep-2024 09:05:25.176;;58;62.9749;62.8400;62.8800
BNPP.PA;27-Sep-2024 09:05:25.176;;87;62.9751;62.8400;62.8800
BNPP.PA;27-Sep-2024 09:05:25.158;;233;62.9754;62.8400;62.8700
BNPP.PA;27-Sep-2024 09:05:25.158;;120;62.9761;62.8400;62.8700
BNPP.PA;27-Sep-2024 09:05:25.132;;86;62.9765;62.8100;62.8400
BNPP.PA;27-Sep-2024 09:05:25.132;;21;62.9768;62.8100;62.8400
BNPP.PA;27-Sep-2024 09:05:25.132;;120;62.9769;62.8100;62.8400
SHEL.L;27-Sep-2024 09:05:22.666;SINT;;2,419.8916;2,418.0000;2,419.0000
