,wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc,lwage,expersq,tenursq
0,3.1,11,2.0,0,0.0,1.0,0,2.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.131402,4,0
1,3.24,12,22.0,2,0.0,1.0,1,3.0,1,0.0,0,1.0,0.0,0,0,0.0,1,0,0,0,1,1.175573,484,4
2,3.0,11,2.0,0,0.0,0.0,0,2.0,0,0.0,0,1.0,0.0,0,0,1.0,0,0,0,0,0,1.0986120000000001,4,0
3,6.0,8,44.0,28,0.0,0.0,1,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,0,1,0,1.791759,1936,784
4,5.3,12,7.0,2,0.0,0.0,1,1.0,0,0.0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.667707,49,4
5,8.75,16,9.0,8,0.0,0.0,1,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,1,0,0,2.169054,81,64
6,11.25,18,15.0,7,0.0,0.0,0,0.0,1,0.0,0,1.0,0.0,0,0,1.0,0,0,1,0,0,2.420368,225,49
7,5.0,12,5.0,3,0.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,1,0,0,1.609438,25,9
8,3.6,12,26.0,4,0.0,1.0,0,2.0,1,0.0,0,1.0,0.0,0,0,1.0,0,0,1,0,0,1.280934,676,16
9,18.18,17,22.0,21,0.0,0.0,1,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,1,0,0,2.900322,484,441
10,6.25,16,8.0,2,0.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,1.0,0,0,1,0,0,1.832582,64,4
11,8.13,13,3.0,0,0.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,0,1,0,2.095561,9,0
12,8.77,12,15.0,0,0.0,0.0,1,2.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,2.171337,225,0
13,5.5,12,18.0,3,0.0,0.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.704748,324,9
14,22.2,12,31.0,15,0.0,0.0,1,1.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,1,0,0,3.1000919999999996,961,225
15,17.33,16,14.0,0,0.0,0.0,1,1.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,1,0,0,2.852439,196,0
16,7.5,12,10.0,0,0.0,1.0,1,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,0,1,0,2.014903,100,0
17,10.63,13,16.0,10,0.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,1,0,0,2.36368,256,100
18,3.6,12,13.0,0,0.0,1.0,1,3.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.280934,169,0
19,4.5,12,36.0,6,0.0,1.0,1,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,0,0,1,1.504077,1296,36
20,6.88,12,11.0,4,0.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,1,0,0,1.9286189999999999,121,16
21,8.48,12,29.0,13,0.0,0.0,1,3.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,2.1377099999999998,841,169
22,6.33,16,9.0,9,0.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,1,0,0,1.8453,81,81
23,0.53,12,,1,,,0,,1,,0,,,0,0,,1,0,0,0,1,-0.6348783,9,1
24,6.0,11,37.0,8,1.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,1,0,0,0,0,1.791759,1369,64
25,9.56,16,3.0,3,1.0,0.0,1,1.0,1,0.0,0,1.0,0.0,1,0,0.0,0,0,1,0,0,2.257588,9,9
26,7.78,16,11.0,10,0.0,0.0,1,1.0,1,0.0,0,1.0,0.0,0,1,0.0,0,0,0,0,0,2.051556,121,100
27,12.5,16,31.0,0,0.0,0.0,1,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,1,0,0,2.525729,961,0
28,12.5,15,30.0,0,0.0,0.0,1,2.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,1,0,0,2.525729,900,0
29,3.25,8,9.0,1,0.0,1.0,1,2.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.178655,81,1
30,13.0,14,23.0,5,0.0,0.0,1,2.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,1,0,0,2.5649490000000004,529,25
31,4.5,14,2.0,5,0.0,1.0,0,2.0,1,0.0,0,1.0,0.0,0,0,1.0,0,0,0,0,0,1.504077,4,25
32,9.68,13,16.0,16,0.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,1,0,0,2.270062,256,256
33,5.0,12,7.0,3,0.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,0,1,0,1.609438,49,9
34,4.68,12,3.0,0,0.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,1,0,0,1,0,1.543298,9,0
35,4.27,16,22.0,4,1.0,1.0,1,1.0,1,0.0,0,1.0,0.0,0,0,1.0,0,0,1,0,0,1.451614,484,16
36,6.15,12,15.0,6,1.0,1.0,1,1.0,1,0.0,0,1.0,0.0,0,0,0.0,1,0,0,0,1,1.816452,225,36
37,3.51,4,,15,,,1,,1,,0,,,0,0,,0,0,0,0,0,1.255616,1521,225
38,3.0,14,3.0,3,0.0,1.0,1,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,0,1,0,1.0986120000000001,9,9
39,6.25,12,11.0,0,0.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,0,1,0,1.832582,121,0
40,7.81,12,3.0,0,0.0,1.0,1,0.0,1,0.0,0,1.0,0.0,0,0,0.0,1,0,0,0,1,2.055405,9,0
41,10.0,12,20.0,5,1.0,1.0,1,4.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,0,1,0,2.3025849999999997,400,25
42,4.5,14,16.0,0,0.0,1.0,1,1.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,0,1,0,1.504077,256,0
43,4.0,11,45.0,12,0.0,1.0,1,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,0,0,1,1.3862940000000001,2025,144
44,6.38,13,11.0,4,0.0,1.0,0,0.0,1,0.0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.853168,121,16
45,13.7,15,20.0,13,0.0,0.0,1,2.0,1,0.0,0,1.0,0.0,0,0,0.0,0,1,1,0,0,2.617396,400,169
46,1.67,10,1.0,0,0.0,0.0,0,1.0,1,0.0,0,1.0,0.0,0,0,0.0,1,0,0,0,0,0.5128235999999999,1,0
47,2.93,12,36.0,2,0.0,1.0,1,1.0,1,0.0,0,1.0,0.0,0,0,1.0,0,0,1,0,0,1.075002,1296,4
48,3.65,14,,2,,,0,,1,,0,,,0,0,,0,0,1,0,0,1.294727,81,4
49,2.9,12,15.0,1,0.0,1.0,1,2.0,1,0.0,0,1.0,0.0,0,0,0.0,1,0,0,0,1,1.064711,225,1
50,1.63,12,18.0,0,0.0,1.0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,1,0,0,0,1,0.48858,324,0
51,8.6,16,3.0,2,0.0,1.0,0,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,2.1517619999999997,9,4
52,5.0,12,15.0,5,0.0,0.0,1,1.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,0,1,0,1.609438,225,25
53,6.0,12,7.0,7,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1.791759,49,49
54,2.5,12,2.0,0,0.0,0.0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.9162908000000001,4,0
55,3.25,15,3.0,0,0.0,0.0,0,1.0,0,0.0,0,0.0,0.0,0,0,1.0,0,0,0,0,1,1.178655,9,0
56,3.4,16,1.0,1,0.0,1.0,0,1.0,0,0.0,0,0.0,0.0,0,0,1.0,0,0,0,0,1,1.223776,1,1
57,10.0,8,13.0,0,1.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,0,0,0,2.3025849999999997,169,0
58,21.63,18,8.0,8,0.0,1.0,0,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,3.074081,64,64
59,4.38,16,7.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,0,0,1,1.477049,49,0
60,11.71,13,40.0,20,0.0,1.0,0,0.0,1,0.0,0,0.0,0.0,1,0,0.0,0,0,1,0,0,2.460443,1600,400
61,12.39,14,42.0,5,0.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,2.51689,1764,25
62,6.25,10,36.0,8,0.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,0,0,1,1.832582,1296,64
63,3.71,10,13.0,0,1.0,1.0,0,4.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,0,1,0,1.311032,169,0
64,7.78,14,,3,,,0,,1,,0,,,0,0,,0,1,1,0,0,2.051556,81,9
65,19.98,14,26.0,23,0.0,0.0,1,2.0,1,0.0,0,0.0,0.0,0,0,0.0,0,0,1,0,0,2.994732,676,529
66,6.25,16,7.0,4,1.0,1.0,1,3.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,1.832582,49,16
67,10.0,12,25.0,3,0.0,0.0,1,3.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,2.3025849999999997,625,9
68,5.71,16,10.0,5,0.0,0.0,1,1.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,1.742219,100,25
69,2.0,12,3.0,2,0.0,1.0,0,4.0,1,0.0,0,0.0,0.0,0,0,0.0,1,0,0,0,0,0.6931472,9,4
70,5.71,16,3.0,0,0.0,1.0,0,0.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,0,1,0,1.742219,9,0
71,13.08,17,17.0,2,1.0,0.0,1,3.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,2.571084,289,4
72,4.91,12,17.0,8,0.0,0.0,1,2.0,1,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1.591274,289,64
73,2.91,12,20.0,34,0.0,1.0,1,2.0,1,0.0,0,0.0,0.0,0,0,0.0,1,0,0,1,0,1.0681530000000001,400,1156
74,3.75,12,7.0,0,0.0,1.0,1,0.0,1,0.0,0,0.0,1.0,0,0,0.0,0,0,0,1,0,1.321756,49,0
75,11.9,13,24.0,19,0.0,0.0,1,2.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,2.476538,576,361
76,4.0,12,28.0,0,0.0,1.0,1,1.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,0,1,0,1.3862940000000001,784,0
77,3.1,12,2.0,1,0.0,1.0,0,1.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,0,1,0,1.131402,4,1
78,8.45,12,19.0,13,0.0,0.0,1,4.0,1,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,2.134166,361,169
79,7.14,18,13.0,0,0.0,0.0,1,2.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,1.965713,169,0
80,4.5,9,22.0,5,0.0,0.0,1,4.0,1,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1.504077,484,25
81,4.65,16,3.0,1,0.0,0.0,0,0.0,1,0.0,0,0.0,0.0,1,0,0.0,0,0,0,0,0,1.536867,9,1
82,2.9,10,4.0,0,0.0,1.0,0,1.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,0,0,1,1.064711,16,0
83,6.67,12,7.0,5,0.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0,0,1,0,0,1.89762,49,25
84,3.5,12,6.0,2,1.0,1.0,0,1.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,0,0,1,1.2527629999999998,36,4
85,3.26,12,13.0,3,0.0,1.0,1,1.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,1,0,0,1.181727,169,9
86,3.25,12,14.0,0,0.0,1.0,1,1.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,0,1,0,1.178655,196,0
87,8.0,12,14.0,4,0.0,1.0,0,1.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,2.079442,196,16
88,9.85,8,40.0,24,1.0,0.0,1,2.0,1,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,2.287472,1600,576
89,7.5,12,11.0,7,0.0,0.0,1,1.0,1,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,2.014903,121,49
90,5.91,12,14.0,6,0.0,0.0,1,2.0,0,0.0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,1.776646,196,36
91,11.76,14,40.0,39,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,0,1,0.0,0,0,1,0,0,2.4647040000000002,1600,1521
92,3.0,12,1.0,0,0.0,1.0,0,2.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,1,0,0,1.0986120000000001,1,0
93,4.81,12,2.0,0,0.0,1.0,0,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,0,0,1,1.570697,4,0
94,6.5,12,4.0,1,0.0,1.0,0,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,1.871802,16,1
95,4.0,9,19.0,1,0.0,1.0,1,1.0,1,0.0,0,0.0,0.0,0,0,0.0,1,0,0,0,1,1.3862940000000001,361,1
96,3.5,13,1.0,0,0.0,0.0,0,1.0,1,0.0,0,0.0,0.0,1,0,0.0,0,0,1,0,0,1.2527629999999998,1,0
97,13.16,12,34.0,22,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,1,0,0,2.577182,1156,484
98,4.25,14,5.0,2,0.0,0.0,1,2.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,0,0,0,1.446919,25,4
99,3.5,12,3.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,0,0,1,1.2527629999999998,9,0
100,5.13,15,6.0,6,0.0,1.0,0,0.0,1,0.0,0,0.0,0.0,1,0,0.0,0,0,1,0,0,1.635106,36,36
101,3.75,12,14.0,0,0.0,1.0,1,3.0,1,0.0,0,0.0,0.0,0,0,0.0,1,0,0,0,1,1.321756,196,0
102,4.5,12,35.0,12,0.0,1.0,1,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,0,1,0,1.504077,1225,144
103,7.63,12,8.0,4,0.0,1.0,0,0.0,1,0.0,0,0.0,0.0,0,1,0.0,0,0,0,1,0,2.032088,64,16
104,15.0,14,7.0,7,1.0,0.0,1,1.0,1,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,2.70805,49,49
105,6.85,15,11.0,3,0.0,1.0,1,2.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,1.924249,121,9
106,13.33,12,14.0,11,0.0,0.0,1,2.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,1,0,0,2.590017,196,121
107,6.67,12,35.0,10,0.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,1.89762,1225,100
108,2.53,12,46.0,0,0.0,1.0,0,0.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,1,0,0,0.9282193000000001,2116,0
109,9.8,17,7.0,0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,0,0,0.0,1,0,1,0,0,2.282382,49,0
110,3.37,11,45.0,12,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,1,0,0,1.214913,2025,144
111,24.98,18,29.0,25,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0,0,1,0,0,3.218076,841,625
112,5.4,12,6.0,3,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,0,0,0.0,1,0,0,0,0,1.6863990000000002,36,9
113,6.11,14,15.0,0,0.0,0.0,1,2.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,1,0,0,1.809927,225,0
114,4.2,14,33.0,16,0.0,1.0,1,0.0,1,0.0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,1.435084,1089,256
115,3.75,10,15.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0,0,1.0,0,0,0,0,0,1.321756,225,0
116,3.5,14,5.0,0,0.0,1.0,1,0.0,0,0.0,1,0.0,0.0,0,0,0.0,0,1,0,1,0,1.2527629999999998,25,0
117,3.64,12,7.0,2,0.0,0.0,0,0.0,1,0.0,1,0.0,0.0,0,0,0.0,0,1,0,0,1,1.291984,49,4
118,3.8,15,6.0,1,0.0,0.0,1,1.0,1,0.0,1,0.0,0.0,0,0,1.0,0,0,0,0,0,1.335001,36,1
119,3.0,8,33.0,12,0.0,1.0,1,3.0,0,0.0,1,0.0,0.0,1,0,0.0,0,0,0,0,0,1.0986120000000001,1089,144
120,5.0,16,2.0,1,0.0,1.0,1,0.0,0,0.0,1,0.0,0.0,0,0,1.0,0,0,1,0,0,1.609438,4,1
121,4.63,14,4.0,0,0.0,1.0,1,2.0,1,0.0,1,0.0,0.0,0,0,0.0,0,1,0,0,1,1.532557,16,0
122,3.0,15,,0,,,0,,1,,1,,,0,0,,0,0,1,0,0,1.0986120000000001,1,0
123,3.2,12,29.0,0,0.0,1.0,0,1.0,1,0.0,1,0.0,0.0,0,0,0.0,0,0,0,1,0,1.163151,841,0
124,3.91,18,17.0,3,0.0,0.0,1,2.0,0,0.0,1,0.0,0.0,0,0,0.0,0,1,1,0,0,1.363537,289,9
125,6.43,16,17.0,3,0.0,1.0,1,2.0,0,0.0,1,0.0,0.0,0,0,0.0,0,1,1,0,0,1.860975,289,9
126,5.48,10,36.0,3,0.0,1.0,1,0.0,1,0.0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,1.7011049999999999,1296,9
127,1.5,8,31.0,30,0.0,0.0,0,0.0,0,0.0,1,0.0,0.0,0,0,1.0,0,0,0,0,0,0.40546509999999997,961,900
