,price,assess,bdrms,lotsize,sqrft,colonial,lprice,lassess,llotsize,lsqrft
0,300.0,349.1,4.0,6126.0,2438,1.0,5.7037830000000005,5.855359,8.720297,7.798934
1,370.0,351.5,3.0,9903.0,2076,1.0,5.9135029999999995,5.86221,9.200593,7.638197999999999
2,191.0,217.7,3.0,5200.0,1374,0.0,5.252274,5.383118,8.556414,7.225482
3,195.0,231.8,3.0,4600.0,1448,1.0,5.273,5.445875,8.433811,7.277938000000001
4,373.0,319.1,4.0,6095.0,2514,1.0,5.921578,5.765504,8.715224000000001,7.82963
5,466.275,414.5,5.0,8566.0,2754,1.0,6.144775,6.027073000000001,9.055556,7.92081
6,332.5,367.8,3.0,9000.0,2067,1.0,5.80664,5.907539,9.10498,7.633853
7,315.0,300.2,3.0,6210.0,1731,1.0,5.752573,5.704448999999999,8.733916,7.456455
8,206.0,236.1,3.0,6000.0,1767,0.0,5.327876,5.4642550000000005,8.699514,7.477038
9,240.0,256.3,3.0,2892.0,1890,0.0,5.480639,5.546349,7.969703999999999,7.544332000000001
10,285.0,314.0,4.0,6000.0,2336,1.0,5.652489,5.749393,8.699514,7.756196000000001
11,300.0,416.5,5.0,7047.0,2634,1.0,5.7037830000000005,6.031887,8.860357,7.876258999999999
12,405.0,434.0,3.0,12237.0,3375,1.0,6.003887000000001,6.073044,9.412219,8.12415
13,212.0,279.3,3.0,6460.0,1899,0.0,5.356586,5.632287,8.773385000000001,7.549083
14,265.0,287.5,3.0,6519.0,2312,1.0,5.5797300000000005,5.661223000000001,8.782475999999999,7.745867999999999
15,227.4,232.9,4.0,3597.0,1760,1.0,5.426711,5.450609,8.187856,7.473069000000001
16,240.0,303.8,4.0,5922.0,2000,0.0,5.480639,5.7163699999999995,8.68643,7.600903
17,285.0,,,,1774,,,,8.871084,
18,268.0,,,,1376,,,,8.637994,
19,310.0,326.0,4.0,8602.0,1835,1.0,5.736572,5.786897,9.05975,7.5148
20,266.0,,,,2048,,,,8.611412,
21,270.0,,,,2124,,,,8.961879,
22,225.0,294.2,3.0,6003.0,1768,0.0,5.416101,5.68426,8.700014999999999,7.4776039999999995
23,150.0,208.0,4.0,5218.0,1732,0.0,5.010635,5.3375379999999994,8.55987,7.457032000000001
24,247.0,239.7,3.0,9425.0,1440,1.0,5.5093879999999995,5.479388,9.151121,7.272398
25,275.0,294.1,3.0,6114.0,1932,0.0,5.616771,5.68392,8.718336,7.566311
26,230.0,267.4,3.0,6710.0,1932,0.0,5.438079,5.5887459999999995,8.811355,7.566311
27,343.0,359.9,3.0,8577.0,2106,1.0,5.8377300000000005,5.885826,9.05684,7.652546000000001
28,477.5,478.1,7.0,8400.0,3529,1.0,6.168564,6.16982,9.035986999999999,8.16877
29,350.0,355.3,4.0,9773.0,2051,1.0,5.857933,5.872962,9.187379,7.626083
30,230.0,,,,1573,,,,8.47762,
31,335.0,385.0,4.0,15086.0,2829,0.0,5.8141300000000005,5.953243,9.621523,7.947678999999999
32,251.0,224.3,3.0,5763.0,1630,1.0,5.525453,5.412984,8.659213000000001,7.3963350000000005
33,235.0,251.9,4.0,6383.0,1840,1.0,5.459586,5.529032,8.761394000000001,7.517521
34,361.0,354.9,4.0,9000.0,2066,1.0,5.888878,5.871836,9.10498,7.633369
