,price,wage,t,lprice,lwage,gprice,gwage,gwage_1,gwage_2,gwage_3,gwage_4,gwage_5,gwage_6,gwage_7,gwage_8,gwage_9,gwage_10,gwage_11,gwage_12,gprice_1,Unnamed: 20
0,92.6,2.32,1.0,4.528289,0.8415671999999998,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
1,92.5,2.32,2.0,4.527209,0.8415671999999998,-0.0010805,0,.,.,.,.,.,.,.,.,.,.,.,.,.,
2,92.6,2.32,3.0,4.528289,0.8415671999999998,0.0010805,0,0,.,.,.,.,.,.,.,.,.,.,.,-0.0010805,
3,92.7,2.34,4.0,4.529368,0.8501509,0.0010791,0.0085837,0,0,.,.,.,.,.,.,.,.,.,.,0.0010805,
4,92.7,2.35,5.0,4.529368,0.8544153,0,0.0042644,0.0085837,0,0,.,.,.,.,.,.,.,.,.,0.0010791,
5,92.9,2.36,6.0,4.531524,0.8586616,0.0021553,0.0042463,0.0042644,0.0085837,0,0,.,.,.,.,.,.,.,.,0,
6,93.1,2.36,7.0,4.5336739999999995,0.8586616,0.0021505,0,0.0042463,0.0042644,0.0085837,0,0,.,.,.,.,.,.,.,0.0021553,
7,93.0,2.37,8.0,4.532598999999999,0.8628899,-0.0010748,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,.,.,.,.,.,.,0.0021505,
8,93.2,2.4,9.0,4.5347480000000004,0.8754688,0.0021482,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,.,.,.,.,.,-0.0010748,
9,93.3,2.39,,4.535819999999999,,,-0.0041754,,0.0042283,,0.0042463,,,0,0,,,.,.,0.0021482,
10,93.5,2.4,11.0,4.537961,0.8754688,0.0021415,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,.,.,.,0.0010724,
11,93.6,2.4,12.0,4.539031,0.8754688,0.0010691,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,.,.,0.0021415,
12,93.6,2.4,13.0,4.539031,0.8754688,0,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,.,0.0010691,
13,93.6,2.42,14.0,4.539031,0.8837674999999999,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,0,
14,93.7,2.42,15.0,4.540098,0.8837674999999999,0.0010676,0,0.0082988,0,0,0.0041754,-0.0041754,0.0125789,0.0042283,0,0.0042463,0.0042644,0.0085837,0,0,
